"SV","0000019","20240112|172022","20240115_1520604_016664_048900","R04_4_Australian Open - Melbourne (AUS)","Ferro","Kessler","|K|0.577982|EK|G||OL1|1.87224|EOL1|OL2|2.47902|EOL2|OH1|1|EOH1|OH2|237|EOH2|EG|NA||NAOL1|1.9488|ENAOL1|NAOL2|2.58567|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AHS||K-1.5|2.1|1|2.1|1|EK-1.5||K21|2.1|1|2.1|1|EK21||K1.5|2.1|1|2.1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/australia/wta-australian-open/ferro-fiona-kessler-mccartney-tpufRGC0/","","1.73","2.2","","","1.7","2.15","1.73","2.2","","","","","","",""
"CSV","0000023","20240112|172128","20240108_1526610_079059_049995","R10_1_W50 Nonthaburi (THA)","Ishii","Sawangkaew","|K|0.496264|EK|G||OL1|2.08666|EOL1|OL2|2.05567|EOL2|OH1|202|EOH1|OH2|199|EOH2|EG|NA|NOT|ENA||AH-5.5|3.615|351.279|1.439|139.796|AH-5|3.615|351.279|1.646|159.988|AH-4|2.744|266.699|1.859|180.661|AH-3.5|2.305|223.976|1.859|180.661|AH-3|2.305|223.976|1.879|182.575|AH-2.5|2.275|221.102|1.879|182.575|AH-2|2.275|221.102|1.902|184.827|AH-1.5|2.242|217.887|1.902|184.827||AH1.5|1.918|183.198|2.305|220.195|AH2|1.918|183.198|2.613|249.55|AH2.5|1.747|166.867|2.613|249.55|AH3|1.747|166.867|2.991|285.677|AH3.5|1.611|153.857|2.991|285.677|AH4|1.611|153.857|3.512|335.476|AH4.5|1.492|142.467|3.512|335.476|AH5|1.492|142.467|5.232|499.719|AH5.5|1.309|125.018|5.232|499.719||EAH||AHS||K-1.5|3.44047|10|2.1|1|EK-1.5||K21|6.67192|10|6.79469|10|EK21||K1.5|2.1|1|3.3057|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/ishii-sayaka-sawangkaew-mananchaya-Ucym1dNL/#cs;12;48","21","","","","","","","","","","","","","","",""
"CSV","0000023","20240112|172116","20240108_1526610_079059_049995","R10_1_W50 Nonthaburi (THA)","Ishii","Sawangkaew","|K|0.496264|EK|G||OL1|2.08666|EOL1|OL2|2.05567|EOL2|OH1|202|EOH1|OH2|199|EOH2|EG|NA|NOT|ENA||AH-5.5|3.615|351.279|1.439|139.796|AH-5|3.615|351.279|1.646|159.988|AH-4|2.744|266.699|1.859|180.661|AH-3.5|2.305|223.976|1.859|180.661|AH-3|2.305|223.976|1.879|182.575|AH-2.5|2.275|221.102|1.879|182.575|AH-2|2.275|221.102|1.902|184.827|AH-1.5|2.242|217.887|1.902|184.827||AH1.5|1.918|183.198|2.305|220.195|AH2|1.918|183.198|2.613|249.55|AH2.5|1.747|166.867|2.613|249.55|AH3|1.747|166.867|2.991|285.677|AH3.5|1.611|153.857|2.991|285.677|AH4|1.611|153.857|3.512|335.476|AH4.5|1.492|142.467|3.512|335.476|AH5|1.492|142.467|5.232|499.719|AH5.5|1.309|125.018|5.232|499.719||EAH||AHS||K-1.5|3.44047|10|2.1|1|EK-1.5||K21|6.67192|10|6.79469|10|EK21||K1.5|2.1|1|3.3057|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/ishii-sayaka-sawangkaew-mananchaya-Ucym1dNL/#ah;2;1.50;1","1.5","1.23","3.9","","","","","1.23","3.9","","","","","","",""
"CSV","0000023","20240112|172115","20240108_1526610_079059_049995","R10_1_W50 Nonthaburi (THA)","Ishii","Sawangkaew","|K|0.496264|EK|G||OL1|2.08666|EOL1|OL2|2.05567|EOL2|OH1|202|EOH1|OH2|199|EOH2|EG|NA|NOT|ENA||AH-5.5|3.615|351.279|1.439|139.796|AH-5|3.615|351.279|1.646|159.988|AH-4|2.744|266.699|1.859|180.661|AH-3.5|2.305|223.976|1.859|180.661|AH-3|2.305|223.976|1.879|182.575|AH-2.5|2.275|221.102|1.879|182.575|AH-2|2.275|221.102|1.902|184.827|AH-1.5|2.242|217.887|1.902|184.827||AH1.5|1.918|183.198|2.305|220.195|AH2|1.918|183.198|2.613|249.55|AH2.5|1.747|166.867|2.613|249.55|AH3|1.747|166.867|2.991|285.677|AH3.5|1.611|153.857|2.991|285.677|AH4|1.611|153.857|3.512|335.476|AH4.5|1.492|142.467|3.512|335.476|AH5|1.492|142.467|5.232|499.719|AH5.5|1.309|125.018|5.232|499.719||EAH||AHS||K-1.5|3.44047|10|2.1|1|EK-1.5||K21|6.67192|10|6.79469|10|EK21||K1.5|2.1|1|3.3057|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/ishii-sayaka-sawangkaew-mananchaya-Ucym1dNL/#ah;2;-1.50;1","-1.5","2.31","1.58","","","","","2.31","1.58","","","","","","",""
"CSV","0000023","20240112|172103","20240108_1526610_079059_049995","R10_1_W50 Nonthaburi (THA)","Ishii","Sawangkaew","|K|0.496264|EK|G||OL1|2.08666|EOL1|OL2|2.05567|EOL2|OH1|202|EOH1|OH2|199|EOH2|EG|NA|NOT|ENA||AH-5.5|3.615|351.279|1.439|139.796|AH-5|3.615|351.279|1.646|159.988|AH-4|2.744|266.699|1.859|180.661|AH-3.5|2.305|223.976|1.859|180.661|AH-3|2.305|223.976|1.879|182.575|AH-2.5|2.275|221.102|1.879|182.575|AH-2|2.275|221.102|1.902|184.827|AH-1.5|2.242|217.887|1.902|184.827||AH1.5|1.918|183.198|2.305|220.195|AH2|1.918|183.198|2.613|249.55|AH2.5|1.747|166.867|2.613|249.55|AH3|1.747|166.867|2.991|285.677|AH3.5|1.611|153.857|2.991|285.677|AH4|1.611|153.857|3.512|335.476|AH4.5|1.492|142.467|3.512|335.476|AH5|1.492|142.467|5.232|499.719|AH5.5|1.309|125.018|5.232|499.719||EAH||AHS||K-1.5|3.44047|10|2.1|1|EK-1.5||K21|6.67192|10|6.79469|10|EK21||K1.5|2.1|1|3.3057|10|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/ishii-sayaka-sawangkaew-mananchaya-Ucym1dNL/","","1.52","2.46","","","","","1.52","2.46","","","","","","",""
"CSV","0000024","20240112|172141","20240108_1526610_077513_065417","R10_1_W50 Nonthaburi (THA)","Saito","Ruzic","|K|0.340364|EK|G||OL1|3.03702|EOL1|OL2|1.63552|EOL2|OH1|294|EOH1|OH2|152|EOH2|EG|NA|NOT|ENA||AH-5.5|14.107|1370.94|1.11|107.868|AH-5|14.107|1370.94|1.227|119.207|AH-4|6.386|620.632|1.336|129.801|AH-3.5|4.482|435.565|1.336|129.801|AH-3|4.482|435.565|1.345|130.71|AH-2.5|4.38|425.627|1.345|130.71|AH-2|4.38|425.627|1.416|137.579|AH-1.5|3.767|366.103|1.416|137.579||AH1.5|2.866|273.687|1.65|157.575|AH2|2.866|273.687|1.734|165.649|AH2.5|2.642|252.326|1.734|165.649|AH3|2.642|252.326|1.934|184.759|AH3.5|2.282|217.982|1.934|184.759|AH4|2.282|217.982|2.221|212.122|AH4.5|1.981|189.189|2.221|212.122|AH5|1.981|189.189|2.755|263.161|AH5.5|1.689|161.289|2.755|263.161||EAH||AHS||K-1.5|6.03141|1|2.1|1|EK-1.5||K21|8.79466|1|5.20126|10|EK21||K1.5|2.1|10|2.3875|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/saito-sara-ruzic-antonia-zcct8Jhd/#ah;2;4.50;2","4.5","1.88","1.88","","","","","1.88","1.88","","","","","","",""
"CSV","0000024","20240112|172143","20240108_1526610_077513_065417","R10_1_W50 Nonthaburi (THA)","Saito","Ruzic","|K|0.340364|EK|G||OL1|3.03702|EOL1|OL2|1.63552|EOL2|OH1|294|EOH1|OH2|152|EOH2|EG|NA|NOT|ENA||AH-5.5|14.107|1370.94|1.11|107.868|AH-5|14.107|1370.94|1.227|119.207|AH-4|6.386|620.632|1.336|129.801|AH-3.5|4.482|435.565|1.336|129.801|AH-3|4.482|435.565|1.345|130.71|AH-2.5|4.38|425.627|1.345|130.71|AH-2|4.38|425.627|1.416|137.579|AH-1.5|3.767|366.103|1.416|137.579||AH1.5|2.866|273.687|1.65|157.575|AH2|2.866|273.687|1.734|165.649|AH2.5|2.642|252.326|1.734|165.649|AH3|2.642|252.326|1.934|184.759|AH3.5|2.282|217.982|1.934|184.759|AH4|2.282|217.982|2.221|212.122|AH4.5|1.981|189.189|2.221|212.122|AH5|1.981|189.189|2.755|263.161|AH5.5|1.689|161.289|2.755|263.161||EAH||AHS||K-1.5|6.03141|1|2.1|1|EK-1.5||K21|8.79466|1|5.20126|10|EK21||K1.5|2.1|10|2.3875|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/saito-sara-ruzic-antonia-zcct8Jhd/#ah;2;3.50;2","3.5","2.27","1.6","","","","","2.27","1.74","","","","","","",""
"CSV","0000024","20240112|172147","20240108_1526610_077513_065417","R10_1_W50 Nonthaburi (THA)","Saito","Ruzic","|K|0.340364|EK|G||OL1|3.03702|EOL1|OL2|1.63552|EOL2|OH1|294|EOH1|OH2|152|EOH2|EG|NA|NOT|ENA||AH-5.5|14.107|1370.94|1.11|107.868|AH-5|14.107|1370.94|1.227|119.207|AH-4|6.386|620.632|1.336|129.801|AH-3.5|4.482|435.565|1.336|129.801|AH-3|4.482|435.565|1.345|130.71|AH-2.5|4.38|425.627|1.345|130.71|AH-2|4.38|425.627|1.416|137.579|AH-1.5|3.767|366.103|1.416|137.579||AH1.5|2.866|273.687|1.65|157.575|AH2|2.866|273.687|1.734|165.649|AH2.5|2.642|252.326|1.734|165.649|AH3|2.642|252.326|1.934|184.759|AH3.5|2.282|217.982|1.934|184.759|AH4|2.282|217.982|2.221|212.122|AH4.5|1.981|189.189|2.221|212.122|AH5|1.981|189.189|2.755|263.161|AH5.5|1.689|161.289|2.755|263.161||EAH||AHS||K-1.5|6.03141|1|2.1|1|EK-1.5||K21|8.79466|1|5.20126|10|EK21||K1.5|2.1|10|2.3875|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/saito-sara-ruzic-antonia-zcct8Jhd/#ah;2;1.50;1","1.5","1.88","1.88","","","","","1.88","1.88","","","","","","",""
"CSV","0000024","20240112|172145","20240108_1526610_077513_065417","R10_1_W50 Nonthaburi (THA)","Saito","Ruzic","|K|0.340364|EK|G||OL1|3.03702|EOL1|OL2|1.63552|EOL2|OH1|294|EOH1|OH2|152|EOH2|EG|NA|NOT|ENA||AH-5.5|14.107|1370.94|1.11|107.868|AH-5|14.107|1370.94|1.227|119.207|AH-4|6.386|620.632|1.336|129.801|AH-3.5|4.482|435.565|1.336|129.801|AH-3|4.482|435.565|1.345|130.71|AH-2.5|4.38|425.627|1.345|130.71|AH-2|4.38|425.627|1.416|137.579|AH-1.5|3.767|366.103|1.416|137.579||AH1.5|2.866|273.687|1.65|157.575|AH2|2.866|273.687|1.734|165.649|AH2.5|2.642|252.326|1.734|165.649|AH3|2.642|252.326|1.934|184.759|AH3.5|2.282|217.982|1.934|184.759|AH4|2.282|217.982|2.221|212.122|AH4.5|1.981|189.189|2.221|212.122|AH5|1.981|189.189|2.755|263.161|AH5.5|1.689|161.289|2.755|263.161||EAH||AHS||K-1.5|6.03141|1|2.1|1|EK-1.5||K21|8.79466|1|5.20126|10|EK21||K1.5|2.1|10|2.3875|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/saito-sara-ruzic-antonia-zcct8Jhd/#ah;2;-1.50;1","-1.5","5.17","1.15","","","","","5.17","1.15","","","","","","",""
"CSV","0000024","20240112|172132","20240108_1526610_077513_065417","R10_1_W50 Nonthaburi (THA)","Saito","Ruzic","|K|0.340364|EK|G||OL1|3.03702|EOL1|OL2|1.63552|EOL2|OH1|294|EOH1|OH2|152|EOH2|EG|NA|NOT|ENA||AH-5.5|14.107|1370.94|1.11|107.868|AH-5|14.107|1370.94|1.227|119.207|AH-4|6.386|620.632|1.336|129.801|AH-3.5|4.482|435.565|1.336|129.801|AH-3|4.482|435.565|1.345|130.71|AH-2.5|4.38|425.627|1.345|130.71|AH-2|4.38|425.627|1.416|137.579|AH-1.5|3.767|366.103|1.416|137.579||AH1.5|2.866|273.687|1.65|157.575|AH2|2.866|273.687|1.734|165.649|AH2.5|2.642|252.326|1.734|165.649|AH3|2.642|252.326|1.934|184.759|AH3.5|2.282|217.982|1.934|184.759|AH4|2.282|217.982|2.221|212.122|AH4.5|1.981|189.189|2.221|212.122|AH5|1.981|189.189|2.755|263.161|AH5.5|1.689|161.289|2.755|263.161||EAH||AHS||K-1.5|6.03141|1|2.1|1|EK-1.5||K21|8.79466|1|5.20126|10|EK21||K1.5|2.1|10|2.3875|10|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/saito-sara-ruzic-antonia-zcct8Jhd/","","3.1","1.34","","","","","3.1","1.35","","","","","","",""
"CSV","0000024","20240112|172132","20240108_1526610_077513_065417","R10_1_W50 Nonthaburi (THA)","Saito","Ruzic","|K|0.340364|EK|G||OL1|3.03702|EOL1|OL2|1.63552|EOL2|OH1|294|EOH1|OH2|152|EOH2|EG|NA|NOT|ENA||AH-5.5|14.107|1370.94|1.11|107.868|AH-5|14.107|1370.94|1.227|119.207|AH-4|6.386|620.632|1.336|129.801|AH-3.5|4.482|435.565|1.336|129.801|AH-3|4.482|435.565|1.345|130.71|AH-2.5|4.38|425.627|1.345|130.71|AH-2|4.38|425.627|1.416|137.579|AH-1.5|3.767|366.103|1.416|137.579||AH1.5|2.866|273.687|1.65|157.575|AH2|2.866|273.687|1.734|165.649|AH2.5|2.642|252.326|1.734|165.649|AH3|2.642|252.326|1.934|184.759|AH3.5|2.282|217.982|1.934|184.759|AH4|2.282|217.982|2.221|212.122|AH4.5|1.981|189.189|2.221|212.122|AH5|1.981|189.189|2.755|263.161|AH5.5|1.689|161.289|2.755|263.161||EAH||AHS||K-1.5|6.03141|1|2.1|1|EK-1.5||K21|8.79466|1|5.20126|10|EK21||K1.5|2.1|10|2.3875|10|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/thailand/itf-w50-nonthaburi-2-women/saito-sara-ruzic-antonia-zcct8Jhd/","21","","","","","","","3.1","1.35","","","","","","",""
